ID,Country,Department_Province,Location,Longitude ,Latitude,altitud_m,Record,Source,RecordType
PE017,Peru,Piura / Ayabaca,Pacaipampa,-79.484966,-4.95604,3095,Unknown,Ortega-Andrade et al 2015,Literature
PE018,Peru,Piura / Ayabaca,Pacaipampa,-79.459966,-4.95604,3655,Unknown,Ortega-Andrade et al 2015,Literature
PE019,Peru,Piura / Ayabaca,Pacaipampa,-79.443299,-4.95604,3370,Unknown,Ortega-Andrade et al 2015,Literature
PE020,Peru,Piura / Ayabaca,Pacaipampa,-79.451554,-4.956345,3260,Faeces,Fieldwork Jessica Amanzo,Sightings
PE021,Peru,Piura / Ayabaca,Pacaipampa,-79.478745,-4.957944,3365,Faeces,Fieldwork Jessica Amanzo,Sightings
PE022,Peru,Piura / Ayabaca,Pacaipampa,-79.471596,-4.97132,3455,Faeces,Fieldwork Jessica Amanzo & Denise Mateo,Sightings
PE023,Peru,Piura / Ayabaca,Laguna Paramo,-79.465276,-4.978232,3240,"Faeces, tracks",Fieldwork Alexander More & Paul Viñas,Sightings
PE024,Peru,Piura / Ayabaca,Laguna El Paramo,-79.467128,-4.978569,3255,Observation,Ocasional record Municipalidad de Pacaipampa,Sightings
PE025,Peru,Piura / Ayabaca,Laguna La Cruz,-79.456686,-4.979802,3370,"Observation, photo",Fieldwork Alexander More,Sightings
PE026,Peru,Piura / Huancabamba,Peñarica,-79.390074,-4.988988,2645,"Footprint, tracks",Fieldwork Zoila Vega,Sightings
PE027,Peru,Piura / Ayabaca,Laguna El Rey,-79.470579,-4.996332,3670,"Footprint, tracks",Fieldwork Alexander More,Sightings
PE028,Peru,Piura / Huancabamba,Bellavista,-79.27928,-5.02132,3410,"Faeces, tracks",Fieldwork Elio Nuñez,Sightings
PE029,Peru,Piura / Huancabamba,Bellavista,-79.282423,-5.028148,3550,"Faeces, tracks",Fieldwork Elio Nuñez,Sightings
PE030,Peru,Piura / Huancabamba,Quebrada Chalaco,-79.314445,-5.051017,1975,"Faeces, tracks",Fieldwork Zoila Vega,Sightings
PE031,Peru,Piura / Huancabamba,Habaspite,-79.329525,-5.070462,2135,"Faeces, tracks",Fieldwork Zoila Vega,Sightings
PE032,Peru,Cajamarca / San Ignacio,ACR Chaupe,-79.228133,-5.083277,2565,"Faeces, tracks",Fieldwork José Vallejos,Sightings
PE033,Peru,Piura / Huancabamba,Machete,-79.36136,-5.105409,2320,"Observation, photo",Ocasional record Richard Silva,Sightings
PE034,Peru,Cajamarca / San Ignacio,SNTN,-79.223401,-5.115628,2490,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE035,Peru,Cajamarca / San Ignacio,SNTN,-79.223939,-5.120115,2725,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE036,Peru,Piura / Huancabamba,Chinguelas,-79.391004,-5.146417,3195,"Observation, photo",Fieldwork Elio Nuñez,Sightings
PE037,Peru,Cajamarca / San Ignacio,SNTN,-79.198253,-5.169844,2890,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE038,Peru,Cajamarca / San Ignacio,SNTN,-79.194935,-5.172864,2780,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE039,Peru,Cajamarca / San Ignacio,SNTN,-79.185874,-5.177442,2370,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE040,Peru,Cajamarca / San Ignacio,SNTN,-79.326633,-5.189374,3090,Unknown,Ortega-Andrade et al 2015,Literature
PE041,Peru,Cajamarca / San Ignacio,SNTN,-79.186017,-5.19194,2030,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE042,Peru,Cajamarca / San Ignacio,SNTN,-79.153588,-5.192703,1780,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE043,Peru,Cajamarca / San Ignacio,SNTN,-79.149371,-5.197194,1840,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE044,Peru,Cajamarca / San Ignacio,SNTN,-79.149434,-5.197348,1840,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE045,Peru,Cajamarca / San Ignacio,SNTN,-79.179231,-5.197932,2280,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE046,Peru,Cajamarca / San Ignacio,SNTN,-79.179312,-5.197941,2280,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
